Version;Date_of_report;Date_measurement;RWZI_AWZI_code;RWZI_AWZI_name;RNA_flow_per_100000
2;2022-03-02;2020-03-30;32002;Tilburg;34621959326395
2;2022-03-02;2020-03-31;3010;Assen;41199039310795
2;2022-03-02;2020-03-31;1033;Garmerwolde;10473596079208
2;2022-03-02;2020-03-31;2011;Leeuwarden;11002680177775
2;2022-03-02;2020-03-31;1008;Stadskanaal;3802954816430
2;2022-03-02;2020-03-31;10009;Utrecht;33790681909360
2;2022-03-02;2020-03-31;4026;Zwolle;14402722883135
2;2022-03-02;2020-04-01;9016;Arnhem;17504194634803
2;2022-03-02;2020-04-01;7022;Etten;52870786922025
2;2022-03-02;2020-04-01;13010;Haarlem Waarderpolder;49555598868235
2;2022-03-02;2020-04-01;25020;Kaatsheuvel;41776486073426
2;2022-03-02;2020-04-01;25027;Lage Zwaluwe;16122670245477
2;2022-03-02;2020-04-01;13030;Leimuiden;39135895149271
2;2022-03-02;2020-04-01;5012;Oldenzaal;36469371251746
2;2022-03-02;2020-04-01;3028;Sleen;11888956105229
2;2022-03-02;2020-04-01;23002;Terneuzen;19009676666921
2;2022-03-02;2020-04-02;12022;Beverwijk;22305803791361
2;2022-03-02;2020-04-02;30007;Bosscherveld;67106079012054
2;2022-03-02;2020-04-02;30020;Venray;35062440623178
2;2022-03-02;2020-04-05;10027;Amersfoort;21897432092673
2;2022-03-02;2020-04-05;27008;S Hertogenbosch;33102186193336
2;2022-03-02;2020-04-05;29003;Land Van Cuijk;134811107889684
2;2022-03-02;2020-04-05;6004;Lelystad;12516403381928
2;2022-03-02;2020-04-05;23002;Terneuzen;33012360584917
2;2022-03-02;2020-04-05;4027;Tollebeek;26338223286963
2;2022-03-02;2020-04-06;28005;Dinther;90126417037159
2;2022-03-02;2020-04-06;32002;Tilburg;4448715679942
2;2022-03-02;2020-04-07;9016;Arnhem;3019388598063
2;2022-03-02;2020-04-07;3010;Assen;1224224361219
2;2022-03-02;2020-04-07;1033;Garmerwolde;21868203299661
2;2022-03-02;2020-04-07;13010;Haarlem Waarderpolder;48955544146870
2;2022-03-02;2020-04-07;2011;Leeuwarden;23485537715503
2;2022-03-02;2020-04-07;13030;Leimuiden;20324498495633
2;2022-03-02;2020-04-07;1008;Stadskanaal;635637147167
2;2022-03-02;2020-04-07;10009;Utrecht;25732683753811
2;2022-03-02;2020-04-07;21001;Walcheren;21504995441810
2;2022-03-02;2020-04-07;4026;Zwolle;29129223139652
2;2022-03-02;2020-04-08;12022;Beverwijk;23074020950140
2;2022-03-02;2020-04-08;7022;Etten;46842638957090
2;2022-03-02;2020-04-08;25020;Kaatsheuvel;31706543072021
2;2022-03-02;2020-04-08;25027;Lage Zwaluwe;34806501283446
2;2022-03-02;2020-04-08;6004;Lelystad;27466265163924
2;2022-03-02;2020-04-08;30007;Bosscherveld;73255398917446
2;2022-03-02;2020-04-08;5012;Oldenzaal;16318387414702
2;2022-03-02;2020-04-08;3028;Sleen;2103521756734
2;2022-03-02;2020-04-08;4027;Tollebeek;35489126012285
2;2022-03-02;2020-04-08;30020;Venray;19287723313044
2;2022-03-02;2020-04-09;27008;S Hertogenbosch;17000528709703
2;2022-03-02;2020-04-09;28005;Dinther;53806941663730
2;2022-03-02;2020-04-10;9016;Arnhem;16280328583802
2;2022-03-02;2020-04-13;10027;Amersfoort;12084174175236
2;2022-03-02;2020-04-13;1033;Garmerwolde;1601846277533
2;2022-03-02;2020-04-13;13010;Haarlem Waarderpolder;8312937734667
2;2022-03-02;2020-04-13;15005;Houtrust;17194268878658
2;2022-03-02;2020-04-13;29003;Land Van Cuijk;121284889590162
2;2022-03-02;2020-04-13;13030;Leimuiden;11700568536241
2;2022-03-02;2020-04-13;32002;Tilburg;49219746494862
2;2022-03-02;2020-04-14;3010;Assen;285732402653
2;2022-03-02;2020-04-14;2011;Leeuwarden;1413955836963
2;2022-03-02;2020-04-14;1008;Stadskanaal;2284013631512
2;2022-03-02;2020-04-14;10009;Utrecht;9274352005171
2;2022-03-02;2020-04-14;21001;Walcheren;3325192253663
2;2022-03-02;2020-04-14;4026;Zwolle;12431501946514
2;2022-03-02;2020-04-15;12022;Beverwijk;7122069730813
2;2022-03-02;2020-04-15;7022;Etten;15054005086067
2;2022-03-02;2020-04-15;29003;Land Van Cuijk;18216485513783
2;2022-03-02;2020-04-15;6004;Lelystad;7889498251283
2;2022-03-02;2020-04-15;30007;Bosscherveld;14385889264694
2;2022-03-02;2020-04-15;5012;Oldenzaal;7564360982579
2;2022-03-02;2020-04-15;3028;Sleen;626080644031
2;2022-03-02;2020-04-15;4027;Tollebeek;23229221675383
2;2022-03-02;2020-04-15;30020;Venray;7475052985991
2;2022-03-02;2020-04-16;27008;S Hertogenbosch;13130292444601
2;2022-03-02;2020-04-16;28005;Dinther;21987738845047
2;2022-03-02;2020-04-16;25020;Kaatsheuvel;5133134292720
2;2022-03-02;2020-04-16;25027;Lage Zwaluwe;7033745723440
2;2022-03-02;2020-04-16;23002;Terneuzen;1926494440535
2;2022-03-02;2020-04-17;9016;Arnhem;558686113656
2;2022-03-02;2020-04-19;10027;Amersfoort;4712297930679
2;2022-03-02;2020-04-19;13030;Leimuiden;7737288701628
2;2022-03-02;2020-04-20;13010;Haarlem Waarderpolder;2682166926590
2;2022-03-02;2020-04-20;15005;Houtrust;5336848307338
2;2022-03-02;2020-04-20;32002;Tilburg;8037430756227
2;2022-03-02;2020-04-21;3010;Assen;572908125851
2;2022-03-02;2020-04-21;2011;Leeuwarden;2774592760706
2;2022-03-02;2020-04-21;6004;Lelystad;7888232770347
2;2022-03-02;2020-04-21;1008;Stadskanaal;1031628915956
2;2022-03-02;2020-04-21;23002;Terneuzen;10425721882432
2;2022-03-02;2020-04-21;10009;Utrecht;5935145450387
2;2022-03-02;2020-04-21;4026;Zwolle;4199771006570
2;2022-03-02;2020-04-22;12022;Beverwijk;3549183833634
2;2022-03-02;2020-04-22;7022;Etten;26069607635066
2;2022-03-02;2020-04-22;1033;Garmerwolde;8542700353163
2;2022-03-02;2020-04-22;25020;Kaatsheuvel;8131662843571
2;2022-03-02;2020-04-22;25027;Lage Zwaluwe;3867878011165
2;2022-03-02;2020-04-22;30007;Bosscherveld;13595513606636
2;2022-03-02;2020-04-22;5012;Oldenzaal;3157722372029
2;2022-03-02;2020-04-22;3028;Sleen;63602502506084
2;2022-03-02;2020-04-22;30020;Venray;11042207836387
2;2022-03-02;2020-04-22;21001;Walcheren;1627295854947
2;2022-03-02;2020-04-23;27008;S Hertogenbosch;11397484592371
2;2022-03-02;2020-04-23;28005;Dinther;47809401075743
2;2022-03-02;2020-04-23;29003;Land Van Cuijk;22901409658678
2;2022-03-02;2020-04-23;4027;Tollebeek;175149597144402
2;2022-03-02;2020-04-26;13010;Haarlem Waarderpolder;3998668689117
2;2022-03-02;2020-04-27;10027;Amersfoort;7906607657063
2;2022-03-02;2020-04-27;15005;Houtrust;9432250121297
2;2022-03-02;2020-04-27;13030;Leimuiden;9520758112091
2;2022-03-02;2020-04-27;6004;Lelystad;7122277748184
2;2022-03-02;2020-04-27;32002;Tilburg;10440976813203
2;2022-03-02;2020-04-28;9016;Arnhem;1391248684951
2;2022-03-02;2020-04-28;3010;Assen;809439114879
2;2022-03-02;2020-04-28;29003;Land Van Cuijk;16789699915500
2;2022-03-02;2020-04-28;2011;Leeuwarden;2871127579023
2;2022-03-02;2020-04-28;1008;Stadskanaal;417459016025
2;2022-03-02;2020-04-28;23002;Terneuzen;14979513451509
2;2022-03-02;2020-04-28;10009;Utrecht;6298903150609
2;2022-03-02;2020-04-28;4026;Zwolle;5719058990182
2;2022-03-02;2020-04-29;12022;Beverwijk;2574940364789
2;2022-03-02;2020-04-29;28005;Dinther;17895215438153
2;2022-03-02;2020-04-29;7022;Etten;7616395320520
2;2022-03-02;2020-04-29;1033;Garmerwolde;1906098902278
2;2022-03-02;2020-04-29;25020;Kaatsheuvel;19672345114662
2;2022-03-02;2020-04-29;25027;Lage Zwaluwe;1272429594448
2;2022-03-02;2020-04-29;30007;Bosscherveld;13312487085015
2;2022-03-02;2020-04-29;5012;Oldenzaal;526710105251
2;2022-03-02;2020-04-29;3028;Sleen;1382546844690
2;2022-03-02;2020-04-29;4027;Tollebeek;17489272482077
2;2022-03-02;2020-04-29;30020;Venray;4900397144566
2;2022-03-02;2020-04-29;21001;Walcheren;2132239091382
2;2022-03-02;2020-04-30;9016;Arnhem;7323585984391
2;2022-03-02;2020-04-30;15005;Houtrust;2651041540037
2;2022-03-02;2020-05-01;13010;Haarlem Waarderpolder;2451188855964
2;2022-03-02;2020-05-03;10027;Amersfoort;2024898703850
2;2022-03-02;2020-05-03;9016;Arnhem;5060762116874
2;2022-03-02;2020-05-03;29003;Land Van Cuijk;23780358808528
2;2022-03-02;2020-05-05;3010;Assen;0
2;2022-03-02;2020-05-05;27008;S Hertogenbosch;5480635867247
2;2022-03-02;2020-05-05;28005;Dinther;15388870084986
2;2022-03-02;2020-05-05;2032;Harlingen;0
2;2022-03-02;2020-05-05;15005;Houtrust;6026253631228
2;2022-03-02;2020-05-05;2011;Leeuwarden;1073543077681
2;2022-03-02;2020-05-05;1008;Stadskanaal;5507226731388
2;2022-03-02;2020-05-05;32002;Tilburg;4825182948652
2;2022-03-02;2020-05-05;4027;Tollebeek;21062603434795
2;2022-03-02;2020-05-05;10009;Utrecht;3930752769091
2;2022-03-02;2020-05-05;4026;Zwolle;1887865026244
2;2022-03-02;2020-05-06;12022;Beverwijk;369254316175
2;2022-03-02;2020-05-06;7022;Etten;5115011128324
2;2022-03-02;2020-05-06;1033;Garmerwolde;8532638282757
2;2022-03-02;2020-05-06;25020;Kaatsheuvel;7701133598188
2;2022-03-02;2020-05-06;25027;Lage Zwaluwe;7914948125645
2;2022-03-02;2020-05-06;13030;Leimuiden;2120136967312
2;2022-03-02;2020-05-06;6004;Lelystad;5320851356183
2;2022-03-02;2020-05-06;30007;Bosscherveld;8013490803840
2;2022-03-02;2020-05-06;5012;Oldenzaal;663898499889
2;2022-03-02;2020-05-06;3028;Sleen;0
2;2022-03-02;2020-05-06;23002;Terneuzen;13340345610715
2;2022-03-02;2020-05-06;30020;Venray;5410125733955
2;2022-03-02;2020-05-06;21001;Walcheren;2020883931687
2;2022-03-02;2020-05-07;9016;Arnhem;0
2;2022-03-02;2020-05-07;13010;Haarlem Waarderpolder;9372880442632
2;2022-03-02;2020-05-09;6004;Lelystad;3574014008481
2;2022-03-02;2020-05-10;10027;Amersfoort;0
2;2022-03-02;2020-05-10;27008;S Hertogenbosch;8111091174976
2;2022-03-02;2020-05-10;28005;Dinther;6962122133329
2;2022-03-02;2020-05-10;29003;Land Van Cuijk;2536746466260
2;2022-03-02;2020-05-11;9016;Arnhem;250909074984
2;2022-03-02;2020-05-11;1033;Garmerwolde;932233571021
2;2022-03-02;2020-05-11;15005;Houtrust;13551463929247
2;2022-03-02;2020-05-11;13030;Leimuiden;558941723537
2;2022-03-02;2020-05-11;32002;Tilburg;5919931089229
2;2022-03-02;2020-05-11;4027;Tollebeek;14081332767715
2;2022-03-02;2020-05-11;21001;Walcheren;939151552776
2;2022-03-02;2020-05-12;3010;Assen;243038706408
2;2022-03-02;2020-05-12;2032;Harlingen;0
2;2022-03-02;2020-05-12;2011;Leeuwarden;1341909455916
2;2022-03-02;2020-05-12;1008;Stadskanaal;0
2;2022-03-02;2020-05-12;10009;Utrecht;4501024649001
2;2022-03-02;2020-05-12;4026;Zwolle;1896147348575
2;2022-03-02;2020-05-13;12022;Beverwijk;978470009300
2;2022-03-02;2020-05-13;27008;S Hertogenbosch;1498832795731
2;2022-03-02;2020-05-13;7022;Etten;0
2;2022-03-02;2020-05-13;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-05-13;25020;Kaatsheuvel;834178207115
2;2022-03-02;2020-05-13;25027;Lage Zwaluwe;1669195243342
2;2022-03-02;2020-05-13;30007;Bosscherveld;3736305165250
2;2022-03-02;2020-05-13;5012;Oldenzaal;2925150900398
2;2022-03-02;2020-05-13;3028;Sleen;8479508051429
2;2022-03-02;2020-05-13;23002;Terneuzen;2937787118536
2;2022-03-02;2020-05-13;30020;Venray;0
2;2022-03-02;2020-05-15;6004;Lelystad;4297590693381
2;2022-03-02;2020-05-16;21001;Walcheren;986544308583
2;2022-03-02;2020-05-17;10027;Amersfoort;3301365138366
2;2022-03-02;2020-05-17;9016;Arnhem;1510282098168
2;2022-03-02;2020-05-17;27008;S Hertogenbosch;3738207959177
2;2022-03-02;2020-05-17;28005;Dinther;4640283078352
2;2022-03-02;2020-05-17;15005;Houtrust;15710890886583
2;2022-03-02;2020-05-17;4027;Tollebeek;2407806248012
2;2022-03-02;2020-05-18;32002;Tilburg;4021502407110
2;2022-03-02;2020-05-19;3010;Assen;0
