Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
2;2022-03-15 09:00:00;2020-06-01;VR01;Groningen;3;0
2;2022-03-15 09:00:00;2020-06-02;VR01;Groningen;210;0
2;2022-03-15 09:00:00;2020-06-03;VR01;Groningen;209;0
2;2022-03-15 09:00:00;2020-06-04;VR01;Groningen;245;1
2;2022-03-15 09:00:00;2020-06-05;VR01;Groningen;227;0
2;2022-03-15 09:00:00;2020-06-06;VR01;Groningen;100;0
2;2022-03-15 09:00:00;2020-06-07;VR01;Groningen;8;0
2;2022-03-15 09:00:00;2020-06-08;VR01;Groningen;300;1
2;2022-03-15 09:00:00;2020-06-09;VR01;Groningen;224;0
2;2022-03-15 09:00:00;2020-06-10;VR01;Groningen;198;3
2;2022-03-15 09:00:00;2020-06-11;VR01;Groningen;200;1
2;2022-03-15 09:00:00;2020-06-12;VR01;Groningen;141;1
2;2022-03-15 09:00:00;2020-06-13;VR01;Groningen;84;0
2;2022-03-15 09:00:00;2020-06-14;VR01;Groningen;17;0
2;2022-03-15 09:00:00;2020-06-15;VR01;Groningen;304;2
2;2022-03-15 09:00:00;2020-06-16;VR01;Groningen;280;0
2;2022-03-15 09:00:00;2020-06-17;VR01;Groningen;249;0
2;2022-03-15 09:00:00;2020-06-18;VR01;Groningen;274;0
2;2022-03-15 09:00:00;2020-06-19;VR01;Groningen;237;0
2;2022-03-15 09:00:00;2020-06-20;VR01;Groningen;104;0
2;2022-03-15 09:00:00;2020-06-21;VR01;Groningen;33;0
2;2022-03-15 09:00:00;2020-06-22;VR01;Groningen;366;0
2;2022-03-15 09:00:00;2020-06-23;VR01;Groningen;309;0
2;2022-03-15 09:00:00;2020-06-24;VR01;Groningen;210;0
2;2022-03-15 09:00:00;2020-06-25;VR01;Groningen;277;0
2;2022-03-15 09:00:00;2020-06-26;VR01;Groningen;195;0
2;2022-03-15 09:00:00;2020-06-27;VR01;Groningen;117;0
2;2022-03-15 09:00:00;2020-06-28;VR01;Groningen;26;0
2;2022-03-15 09:00:00;2020-06-29;VR01;Groningen;396;0
2;2022-03-15 09:00:00;2020-06-30;VR01;Groningen;380;0
2;2022-03-15 09:00:00;2020-07-01;VR01;Groningen;332;0
2;2022-03-15 09:00:00;2020-07-02;VR01;Groningen;299;0
2;2022-03-15 09:00:00;2020-07-03;VR01;Groningen;237;0
2;2022-03-15 09:00:00;2020-07-04;VR01;Groningen;163;0
2;2022-03-15 09:00:00;2020-07-05;VR01;Groningen;36;0
2;2022-03-15 09:00:00;2020-07-06;VR01;Groningen;472;1
2;2022-03-15 09:00:00;2020-07-07;VR01;Groningen;342;1
2;2022-03-15 09:00:00;2020-07-08;VR01;Groningen;388;0
2;2022-03-15 09:00:00;2020-07-09;VR01;Groningen;325;1
2;2022-03-15 09:00:00;2020-07-10;VR01;Groningen;320;0
2;2022-03-15 09:00:00;2020-07-11;VR01;Groningen;202;0
2;2022-03-15 09:00:00;2020-07-12;VR01;Groningen;35;0
2;2022-03-15 09:00:00;2020-07-13;VR01;Groningen;466;0
2;2022-03-15 09:00:00;2020-07-14;VR01;Groningen;333;0
2;2022-03-15 09:00:00;2020-07-15;VR01;Groningen;351;0
2;2022-03-15 09:00:00;2020-07-16;VR01;Groningen;422;0
2;2022-03-15 09:00:00;2020-07-17;VR01;Groningen;460;1
2;2022-03-15 09:00:00;2020-07-18;VR01;Groningen;269;1
2;2022-03-15 09:00:00;2020-07-19;VR01;Groningen;67;0
2;2022-03-15 09:00:00;2020-07-20;VR01;Groningen;540;0
2;2022-03-15 09:00:00;2020-07-21;VR01;Groningen;524;0
2;2022-03-15 09:00:00;2020-07-22;VR01;Groningen;496;1
2;2022-03-15 09:00:00;2020-07-23;VR01;Groningen;528;3
2;2022-03-15 09:00:00;2020-07-24;VR01;Groningen;520;2
2;2022-03-15 09:00:00;2020-07-25;VR01;Groningen;350;2
2;2022-03-15 09:00:00;2020-07-26;VR01;Groningen;76;0
2;2022-03-15 09:00:00;2020-07-27;VR01;Groningen;588;2
2;2022-03-15 09:00:00;2020-07-28;VR01;Groningen;603;1
2;2022-03-15 09:00:00;2020-07-29;VR01;Groningen;582;2
2;2022-03-15 09:00:00;2020-07-30;VR01;Groningen;418;5
2;2022-03-15 09:00:00;2020-07-31;VR01;Groningen;346;5
2;2022-03-15 09:00:00;2020-08-01;VR01;Groningen;187;0
2;2022-03-15 09:00:00;2020-08-02;VR01;Groningen;201;5
2;2022-03-15 09:00:00;2020-08-03;VR01;Groningen;519;6
2;2022-03-15 09:00:00;2020-08-04;VR01;Groningen;480;7
2;2022-03-15 09:00:00;2020-08-05;VR01;Groningen;511;6
2;2022-03-15 09:00:00;2020-08-06;VR01;Groningen;476;9
2;2022-03-15 09:00:00;2020-08-07;VR01;Groningen;483;8
2;2022-03-15 09:00:00;2020-08-08;VR01;Groningen;319;5
2;2022-03-15 09:00:00;2020-08-09;VR01;Groningen;239;7
2;2022-03-15 09:00:00;2020-08-10;VR01;Groningen;586;6
2;2022-03-15 09:00:00;2020-08-11;VR01;Groningen;523;9
2;2022-03-15 09:00:00;2020-08-12;VR01;Groningen;485;7
2;2022-03-15 09:00:00;2020-08-13;VR01;Groningen;597;14
2;2022-03-15 09:00:00;2020-08-14;VR01;Groningen;719;13
2;2022-03-15 09:00:00;2020-08-15;VR01;Groningen;571;7
2;2022-03-15 09:00:00;2020-08-16;VR01;Groningen;423;5
2;2022-03-15 09:00:00;2020-08-17;VR01;Groningen;697;7
2;2022-03-15 09:00:00;2020-08-18;VR01;Groningen;691;17
2;2022-03-15 09:00:00;2020-08-19;VR01;Groningen;739;8
2;2022-03-15 09:00:00;2020-08-20;VR01;Groningen;830;10
2;2022-03-15 09:00:00;2020-08-21;VR01;Groningen;750;4
2;2022-03-15 09:00:00;2020-08-22;VR01;Groningen;682;4
2;2022-03-15 09:00:00;2020-08-23;VR01;Groningen;466;4
2;2022-03-15 09:00:00;2020-08-24;VR01;Groningen;848;3
2;2022-03-15 09:00:00;2020-08-25;VR01;Groningen;988;3
2;2022-03-15 09:00:00;2020-08-26;VR01;Groningen;1011;2
2;2022-03-15 09:00:00;2020-08-27;VR01;Groningen;939;7
2;2022-03-15 09:00:00;2020-08-28;VR01;Groningen;917;5
2;2022-03-15 09:00:00;2020-08-29;VR01;Groningen;636;1
2;2022-03-15 09:00:00;2020-08-30;VR01;Groningen;512;4
2;2022-03-15 09:00:00;2020-08-31;VR01;Groningen;821;6
2;2022-03-15 09:00:00;2020-09-01;VR01;Groningen;841;8
2;2022-03-15 09:00:00;2020-09-02;VR01;Groningen;985;6
2;2022-03-15 09:00:00;2020-09-03;VR01;Groningen;941;3
2;2022-03-15 09:00:00;2020-09-04;VR01;Groningen;919;10
2;2022-03-15 09:00:00;2020-09-05;VR01;Groningen;659;9
2;2022-03-15 09:00:00;2020-09-06;VR01;Groningen;709;17
2;2022-03-15 09:00:00;2020-09-07;VR01;Groningen;946;17
2;2022-03-15 09:00:00;2020-09-08;VR01;Groningen;971;35
2;2022-03-15 09:00:00;2020-09-09;VR01;Groningen;908;20
2;2022-03-15 09:00:00;2020-09-10;VR01;Groningen;942;20
2;2022-03-15 09:00:00;2020-09-11;VR01;Groningen;955;36
2;2022-03-15 09:00:00;2020-09-12;VR01;Groningen;737;22
2;2022-03-15 09:00:00;2020-09-13;VR01;Groningen;665;29
2;2022-03-15 09:00:00;2020-09-14;VR01;Groningen;966;37
2;2022-03-15 09:00:00;2020-09-15;VR01;Groningen;936;49
2;2022-03-15 09:00:00;2020-09-16;VR01;Groningen;934;43
2;2022-03-15 09:00:00;2020-09-17;VR01;Groningen;948;59
2;2022-03-15 09:00:00;2020-09-18;VR01;Groningen;914;61
2;2022-03-15 09:00:00;2020-09-19;VR01;Groningen;757;65
2;2022-03-15 09:00:00;2020-09-20;VR01;Groningen;786;71
2;2022-03-15 09:00:00;2020-09-21;VR01;Groningen;976;77
2;2022-03-15 09:00:00;2020-09-22;VR01;Groningen;1043;71
2;2022-03-15 09:00:00;2020-09-23;VR01;Groningen;1034;77
2;2022-03-15 09:00:00;2020-09-24;VR01;Groningen;1053;88
2;2022-03-15 09:00:00;2020-09-25;VR01;Groningen;1094;96
2;2022-03-15 09:00:00;2020-09-26;VR01;Groningen;1068;82
2;2022-03-15 09:00:00;2020-09-27;VR01;Groningen;885;94
2;2022-03-15 09:00:00;2020-09-28;VR01;Groningen;1054;88
2;2022-03-15 09:00:00;2020-09-29;VR01;Groningen;1070;99
2;2022-03-15 09:00:00;2020-09-30;VR01;Groningen;1149;80
2;2022-03-15 09:00:00;2020-10-01;VR01;Groningen;1156;75
2;2022-03-15 09:00:00;2020-10-02;VR01;Groningen;1139;92
2;2022-03-15 09:00:00;2020-10-03;VR01;Groningen;1045;100
2;2022-03-15 09:00:00;2020-10-04;VR01;Groningen;709;90
2;2022-03-15 09:00:00;2020-10-05;VR01;Groningen;1559;176
2;2022-03-15 09:00:00;2020-10-06;VR01;Groningen;1585;163
2;2022-03-15 09:00:00;2020-10-07;VR01;Groningen;1737;144
2;2022-03-15 09:00:00;2020-10-08;VR01;Groningen;1634;146
2;2022-03-15 09:00:00;2020-10-09;VR01;Groningen;1651;134
2;2022-03-15 09:00:00;2020-10-10;VR01;Groningen;1200;103
2;2022-03-15 09:00:00;2020-10-11;VR01;Groningen;1175;117
2;2022-03-15 09:00:00;2020-10-12;VR01;Groningen;1494;162
2;2022-03-15 09:00:00;2020-10-13;VR01;Groningen;1556;166
2;2022-03-15 09:00:00;2020-10-14;VR01;Groningen;1505;149
2;2022-03-15 09:00:00;2020-10-15;VR01;Groningen;1606;105
2;2022-03-15 09:00:00;2020-10-16;VR01;Groningen;1679;108
2;2022-03-15 09:00:00;2020-10-17;VR01;Groningen;1309;117
2;2022-03-15 09:00:00;2020-10-18;VR01;Groningen;1169;108
2;2022-03-15 09:00:00;2020-10-19;VR01;Groningen;1615;135
2;2022-03-15 09:00:00;2020-10-20;VR01;Groningen;1555;118
2;2022-03-15 09:00:00;2020-10-21;VR01;Groningen;1519;95
2;2022-03-15 09:00:00;2020-10-22;VR01;Groningen;1640;148
2;2022-03-15 09:00:00;2020-10-23;VR01;Groningen;1461;107
2;2022-03-15 09:00:00;2020-10-24;VR01;Groningen;1062;139
2;2022-03-15 09:00:00;2020-10-25;VR01;Groningen;768;62
2;2022-03-15 09:00:00;2020-10-26;VR01;Groningen;1487;76
2;2022-03-15 09:00:00;2020-10-27;VR01;Groningen;1533;99
2;2022-03-15 09:00:00;2020-10-28;VR01;Groningen;1274;72
2;2022-03-15 09:00:00;2020-10-29;VR01;Groningen;1256;71
2;2022-03-15 09:00:00;2020-10-30;VR01;Groningen;1114;104
2;2022-03-15 09:00:00;2020-10-31;VR01;Groningen;651;56
2;2022-03-15 09:00:00;2020-11-01;VR01;Groningen;554;50
2;2022-03-15 09:00:00;2020-11-02;VR01;Groningen;1306;89
2;2022-03-15 09:00:00;2020-11-03;VR01;Groningen;1069;77
2;2022-03-15 09:00:00;2020-11-04;VR01;Groningen;1057;72
2;2022-03-15 09:00:00;2020-11-05;VR01;Groningen;1001;60
2;2022-03-15 09:00:00;2020-11-06;VR01;Groningen;945;61
2;2022-03-15 09:00:00;2020-11-07;VR01;Groningen;608;45
