Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2022-08-30 00:33:11;2020-11-30;B.1.1.529;Omicron;;VOC;;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.1;Omicron;VOC;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2;Omicron;VOC;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2+S:L452X;Omicron;VOI;;BA.2;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.3;Omicron;VUM;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.617.2;Delta;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.351;Beta;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;P.1;Gamma;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.1.7;Alpha;DEV;;;75;1
4;2022-08-30 00:33:11;2020-11-30;B.1.621;Mu;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;C.37;Lambda;DEV;;;75;0
4;2022-08-30 00:33:11;2020-12-07;B.1.1.529;Omicron;;VOC;;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.1;Omicron;VOC;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2;Omicron;VOC;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2+S:L452X;Omicron;VOI;;BA.2;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.3;Omicron;VUM;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.617.2;Delta;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.351;Beta;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;P.1;Gamma;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.1.7;Alpha;DEV;;;127;1
4;2022-08-30 00:33:11;2020-12-07;B.1.621;Mu;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;C.37;Lambda;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-14;B.1.1.529;Omicron;;VOC;;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.1;Omicron;VOC;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2;Omicron;VOC;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2+S:L452X;Omicron;VOI;;BA.2;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.3;Omicron;VUM;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;B.1.617.2;Delta;DEV;;;203;0
